"","Return","rsi","sma","lma","adx"
"456","Up",55.3,191.6,193,19
"457","Down",66.1,192,192.8,18.1
"458","Up",51.6,192.3,192.5,17.1
"459","Down",54.3,192.8,192.4,16.5
"460","Up",51.2,193.3,192.4,16.1
"461","Down",51.3,194,192.4,15.4
"462","Down",46.2,194.4,192.2,14.4
"463","Down",41.4,194.7,192.2,13.6
"464","Down",33.5,194.5,192.1,13.8
"465","Down",28.7,193.8,192.1,14.2
"466","Down",22.6,192.9,192,15.2
"467","Up",16.9,191.9,191.7,16.9
"468","Down",17.2,191,191.6,18.7
"469","Up",12,190,191.4,20.3
"470","Up",23.2,189.1,191.2,21.2
"471","Up",21.9,188.1,190.9,22.2
"472","Down",24.4,187.1,190.6,23.2
"473","Up",23.5,186.2,190.2,24.1
"474","Down",54.2,186.1,190.1,22.9
"475","Down",43.1,185.4,189.9,21.8
"476","Up",41.3,184.5,189.6,21.1
"477","Up",52,183.3,189.3,19.7
"478","Up",60.1,182.7,189.1,18.7
"479","Down",65.8,182.1,188.9,18.2
"480","Up",63.7,181.6,188.5,18.1
"481","Down",68.9,181.1,188.3,18
"482","Down",64.7,180.7,188.1,17.5
"483","Up",46.4,180.1,187.8,16.4
"484","Up",43.5,179.7,187.5,16
"485","Down",40.7,179.3,187.1,15.2
"486","Down",32.5,179.1,186.7,14.8
"487","Down",20.5,178.6,186.1,15.9
"488","Down",13.6,177.9,185.5,17.8
"489","Up",10.3,177,184.9,19.6
"490","Up",16.4,176,184.3,21.4
"491","Down",32.5,175.4,184,21.8
"492","Down",31.1,174.7,183.6,21.6
"493","Down",30.4,174.1,183.1,21.4
"494","Down",30,172.9,182.5,21.3
"495","Up",23,171.7,181.6,22.1
"496","Up",27.8,170.7,180.8,23.3
"497","Down",29,169.5,180.1,24.2
"498","Up",25.8,168,179.3,25.6
"499","Up",47.6,166.8,178.6,25.8
"500","Up",48.4,165.6,177.9,25.9
"501","Down",62.4,164.5,177.3,24.8
"502","Up",56.5,163.3,176.6,23.8
"503","Up",61.7,162.7,176,22.5
"504","Up",71.7,162.4,175.7,21.7
"505","Up",76.6,162.3,175.4,21.5
"506","Down",81.6,162.7,175.1,21.9
"507","Down",78.5,163.3,174.6,22.4
"508","Up",74.6,164.2,174.3,21.8
"509","Down",81.3,165.6,174,22
"510","Up",72.5,166.7,173.7,22.2
"511","Up",74.4,167.6,173.4,22.4
"512","Up",80.5,168.9,173.3,23.5
"513","Up",82,170.4,173.4,24.8
"514","Up",86.6,172.3,173.6,26.7
"515","Down",86,174.6,174,28.5
"516","Down",70.2,176.5,174.3,29.2
"517","Down",61.9,178.3,174.6,29.3
"518","Up",54.4,180,174.9,28.3
"519","Up",57.7,181.5,175.2,27.3
"520","Up",55.3,183.1,175.5,25.9
"521","Up",58.4,184.4,175.8,24.6
"522","Up",61.9,186.1,176.2,23.8
"523","Up",63.9,187.6,176.6,23.5
"524","Up",62.3,188.9,176.8,23.3
"525","Up",69.2,190.1,177.3,23.3
"526","Down",71.7,191.1,177.8,23.8
"527","Up",61.7,192.1,178.1,23.7
"528","Up",71,193.4,178.5,23.8
"529","Up",81.6,194.7,179,24.8
"530","Up",85.5,196.3,179.6,25.9
"531","Up",89.4,197.9,180.1,27.4
"532","Down",86.2,199.2,180.7,28.8
"533","Down",57.7,199.8,181.2,28.1
"534","Down",47.2,199.8,181.7,26.4
"535","Down",35.2,199.5,182,25
"536","Up",24.2,198.8,182.2,25.3
"537","Up",37,198.8,182.7,25.4
"538","Up",36.6,198.9,183.3,25.2
"539","Up",34.5,198.8,184,25.3
