"","Return","rsi","sma","lma","adx"
"932","Down",34.9,97.2,100.6,16.1
"933","Up",32.7,97.4,99.9,15.3
"934","Up",31.6,97.6,99.2,14.3
"935","Up",41.5,97.8,98.6,13.5
"936","Up",39.4,97.5,98.1,12.5
"937","Up",61.5,97.5,97.7,12.3
"938","Down",67.3,97.2,97.4,12.4
"939","Down",45.1,96.8,97,11.5
"940","Up",39.8,96.4,96.7,11
"941","Up",53,96.1,96.5,10.4
"942","Up",60.4,95.4,96.3,10.2
"943","Up",63.5,95.1,96.2,10.1
"944","Up",69,95.2,96,10.5
"945","Up",67.6,95.3,95.8,11.2
"946","Down",69.5,95.4,95.7,11.6
"947","Up",49.5,95.5,95.4,11.2
"948","Down",64.9,95.7,95.3,10.6
"949","Up",61.8,96.1,95.3,10.4
"950","Up",78.4,96.9,95.6,11.9
"951","Up",83.9,97.9,95.9,14.4
"952","Down",86.5,99.1,96.3,16.9
"953","Down",72.2,100,96.6,18.4
"954","Down",63.8,100.8,96.9,19.1
"955","Down",52.4,101.2,97.1,18.5
"956","Down",49.6,101.7,97.3,17.6
"957","Up",43.5,101.9,97.6,16.5
"958","Up",41.9,102,97.9,15.4
"959","Up",48.8,102.6,98.3,14.4
"960","Up",52.2,103.2,98.6,14
"961","Down",59.9,104,99.2,14.3
"962","Down",52.6,104.5,99.7,14.5
"963","Up",41.7,104.8,100,13.9
"964","Up",39.1,105,100.3,13.2
"965","Down",49.6,105.4,100.5,13
"966","Up",46.8,105.7,100.7,13.2
"967","Up",49.9,106.2,100.8,13
"968","Up",54.9,106.5,100.9,13.1
"969","Up",66.5,107,101,13.8
"970","Up",70.2,107.1,101.3,14.9
"971","Up",71.6,106.9,101.4,15.7
"972","Up",77.2,106.8,101.5,16.9
"973","Up",82.3,107,101.8,18.8
"974","Up",87.3,107.5,102.2,20.2
"975","Down",91.5,108.4,102.7,22.2
"976","Down",87.8,109.3,103.2,23.1
"977","Down",77.6,110.2,103.7,23.9
"978","Down",66.7,111,104.1,24
"979","Up",49.2,111.5,104.5,23.1
"980","Up",47.8,111.8,104.9,22.1
"981","Up",45.8,112,105.3,21.2
"982","Down",59.5,112.5,105.8,21.1
"983","Up",51,113.1,106.3,21.2
"984","Up",58.3,113.9,106.8,21.4
"985","Up",69.8,114.8,107.4,22.6
"986","Down",73,115.9,108,23.9
"987","Up",67.9,116.9,108.6,25.3
"988","Down",71.2,117.9,109.2,26.6
"989","Up",64.7,118.7,109.8,27.5
"990","Up",66.7,119.4,110.4,28.3
"991","Down",71.9,120.2,111.1,29.4
"992","Up",54.1,120.6,111.6,28.9
"993","Down",57.4,120.9,112.1,28
"994","Down",50.3,121.1,112.6,27.2
"995","Up",43.3,121,113,25.7
"996","Down",46.7,121,113.4,24.2
"997","Down",41.5,121.1,113.9,22.9
"998","Up",32.7,121.2,114.3,21.5
"999","Up",36.3,121.6,114.7,20.4
"1000","Up",35.1,121.9,114.9,19.1
"1001","Up",50.8,122.4,115.1,18.2
"1002","Down",52.9,122.7,115.3,17.7
"1003","Up",38.5,122.9,115.4,16.9
"1004","Up",42.2,122.9,115.6,16.5
"1005","Up",51.9,122.8,116,15.4
"1006","Down",59,122.6,116.4,14.7
"1007","Down",52.1,122.4,116.8,14
"1008","Down",34.7,121.9,117.1,14.3
"1009","Up",23.2,121.1,117.2,16
"1010","Down",22,120.4,117.3,17.9
"1011","Down",19.5,119.4,117.2,19.8
"1012","Up",14.2,118.5,117.2,22.1
"1013","Up",34.2,117.8,117.3,22.8
"1014","Up",35.2,117.2,117.4,23.4
"1015","Down",44.3,116.8,117.5,23.1
"1016","Down",43.2,116.3,117.7,22.8
"1017","Up",39.7,115.7,117.8,23
"1018","Up",43.5,115.4,117.9,23.1
"1019","Down",45.8,114.9,117.9,23.1
"1020","Up",41.2,114.4,117.9,23.4
"1021","Down",45.2,113.7,117.8,23.4
"1022","Up",36.4,112.9,117.7,24
"1023","Down",42,112.3,117.5,24.8
"1024","Up",38.6,111.6,117.2,25.4
"1025","Up",47.8,110.9,117,25.3
"1026","Down",45.2,110.1,116.7,25.2
"1027","Up",35.3,109.3,116.4,25.5
"1028","Up",39,108.9,116.2,25.7
"1029","Up",43.6,108.8,116.1,25.4
"1030","Up",43.6,108.7,116,25
"1031","Up",51.4,108.7,115.9,24.6
"1032","Down",62.1,109.1,115.8,22.8
"1033","Up",48.7,109,115.6,21.3
"1034","Up",68.6,109.1,115.5,20.5
"1035","Up",78.9,109.4,115.4,21.4
"1036","Up",81.3,109.7,115.2,22.5
"1037","Up",86.3,110.4,115.2,24.2
"1038","Down",89.2,111.2,115.2,26.2
"1039","Down",82.9,111.9,115.2,28.2
"1040","Up",73.5,112.5,115.1,29.2
"1041","Up",74.2,113.2,115.1,30.2
"1042","Up",76.3,114.2,115.1,30.8
"1043","Up",78.9,115.1,115.2,31.9
"1044","Down",82,116.3,115.3,33.1
"1045","Up",67.3,117.2,115.5,33.8
"1046","Up",69.8,118.2,115.6,34.4
"1047","Up",75.5,119.5,115.8,35.6
"1048","Up",76.6,120.9,116.1,36.9
"1049","Up",78.9,122.3,116.4,38.4
"1050","Up",84.4,124,116.8,40.3
"1051","Down",90.1,126,117.4,42.8
"1052","Down",86.5,127.9,117.9,45.3
"1053","Up",81,129.9,118.4,46.7
"1054","Down",84.6,131.8,119.1,48.2
"1055","Up",74.4,133.3,119.6,49.7
"1056","Up",75.9,134.9,120.1,51
"1057","Up",75.7,136.2,120.7,52.2
"1058","Up",81.4,137.7,121.5,53.7
"1059","Up",81.8,139.3,122.4,55.2
"1060","Down",78.5,140.9,123.4,56.4
"1061","Up",64.9,142.4,124.3,56.7
"1062","Up",63.3,143.8,125.2,56.9
"1063","Up",68.2,145.2,126.2,57
"1064","Down",75.8,146.8,127.2,57.5
"1065","Up",62.8,148.4,128.1,58
"1066","Up",69.1,150,129.1,58.6
"1067","Down",69.4,151.4,130.1,59
"1068","Up",59.1,152.6,131,58
"1069","Down",60.8,153.8,132,56.2
"1070","Up",51.6,154.6,132.9,54.7
"1071","Down",49.4,154.9,133.9,53.5
"1072","Up",42.4,155.3,134.8,52.1
"1073","Up",50.1,155.8,135.8,50.7
"1074","Down",49.2,156,136.9,49.6
"1075","Up",43.2,156.4,137.8,48.3
"1076","Up",42.9,156.7,138.8,47
"1077","Up",69,157.4,139.9,47.2
"1078","Down",75.9,157.9,141.1,48.1
"1079","Up",52.9,158.1,142.2,49.4
"1080","Up",65.1,158.6,143.3,50.5
"1081","Up",71,159.5,144.6,51.7
"1082","Up",81.4,161.1,146.1,53.9
"1083","Down",88.5,163.4,147.9,56.1
"1084","Down",83.3,165.3,149.7,58.2
"1085","Up",80,167.3,151.2,60.2
"1086","Up",79.7,169.1,152.8,62
"1087","Down",84,171.4,154.5,63.8
"1088","Down",78.9,173.8,156.1,65.6
"1089","Down",69.4,175.7,157.5,67.3
"1090","Down",61.6,177.6,159,67.7
"1091","Down",56.5,179.4,160.3,67.4
"1092","Up",50,181.1,161.6,66.4
"1093","Down",56.8,183,163,65.5
"1094","Up",52.3,184.9,164.3,64.9
"1095","Up",56.9,187,165.7,64.4
"1096","Up",53.4,189.2,167.1,64
"1097","Up",60.8,191.2,168.6,63.9
"1098","Down",63,193.1,170,64
"1099","Down",52.8,195.1,171.3,62.8
"1100","Up",45.9,196.6,172.4,61
"1101","Down",44.1,197.8,173.3,59.1
"1102","Down",36.1,198.2,174.1,56.2
"1103","Up",33.5,197.5,175,52.6
"1104","Up",49.8,197.3,175.9,50.1
"1105","Down",49.2,197.2,176.8,48.2
"1106","Down",43.2,197.1,177.7,46.4
"1107","Up",35.2,196.2,178.5,44.1
"1108","Up",35.6,195.5,179.2,41.6
"1109","Down",45.9,195.3,179.9,39.9
"1110","Down",42.9,195.2,180.7,38.3
"1111","Up",38.4,195.2,181.4,36.3
"1112","Up",37.2,195.3,182.2,34.2
"1113","Up",61.4,195.4,183,33.2
"1114","Down",65,195.6,183.8,32.7
"1115","Up",62,195.6,184.6,32.3
"1116","Down",64,195.5,185.4,31.9
"1117","Down",55.7,195.1,186.1,30.6
"1118","Down",47.7,194.6,186.8,29.4
"1119","Down",30.8,193.9,187.3,28.1
"1120","Down",27.5,193.3,187.9,27.2
"1121","Down",23.4,192.7,188.4,25.7
"1122","Up",14.5,191.9,188.8,25.2
"1123","Up",28.8,191.4,189.2,24.9
"1124","Up",41.3,190.9,189.8,23.7
"1125","Up",43.7,190.4,190.4,22.3
"1126","Down",46.3,190.1,191.1,20.8
"1127","Up",42.3,189.9,191.5,19.6
"1128","Down",43.2,189.7,191.9,18.4
"1129","Up",41.2,189.1,192.4,17.3
"1130","Up",42.2,188.7,192.7,16.1
"1131","Up",50.2,188.4,193,15
"1132","Up",49.6,188.1,193,14.4
"1133","Up",62.9,187.6,192.7,13.5
"1134","Down",78.6,187.4,192.6,13.9
"1135","Up",64.7,187.1,192.5,14.3
"1136","Up",63.2,186.7,192.4,14.1
"1137","Up",67.4,186.6,192.1,13.9
"1138","Down",70.1,186.7,191.9,14.3
"1139","Down",53.3,186.8,191.7,14
"1140","Down",42.9,186.9,191.6,13.4
"1141","Up",35.2,186.8,191.3,13.7
"1142","Up",40.9,187.2,191.2,13.9
"1143","Down",40.9,187.4,191,13.9
"1144","Up",35.3,187.2,190.7,14.8
"1145","Up",35.9,186.9,190.4,15.6
"1146","Up",42.7,186.8,190.1,15.5
"1147","Down",49.8,186.9,189.8,15
"1148","Up",45.7,186.9,189.4,14.5
"1149","Up",63.9,187.3,189.3,14.3
"1150","Down",71.1,188,189.3,15
"1151","Down",60.8,188.3,189.2,15.2
"1152","Up",58.1,188.7,189.2,14.5
"1153","Down",62.5,188.9,189.3,14
"1154","Up",55.7,188.6,189.1,13
"1155","Down",66.2,188.8,189.1,12.7
"1156","Down",61.8,188.9,189.1,12.6
"1157","Down",56.7,188.9,189.2,12.2
"1158","Down",46.9,188.5,189.1,11.8
"1159","Up",42.1,188.4,189,11.5
"1160","Up",45.9,188.6,188.9,11.3
"1161","Up",47.7,189.1,188.9,10.6
"1162","Up",47.1,189.4,188.9,10
"1163","Up",54.7,189.9,188.8,9.9
"1164","Up",65.6,190.6,188.7,10.5
"1165","Down",73.8,191.5,188.8,11.8
"1166","Up",51.5,191.9,188.7,12.3
"1167","Up",53.2,192.2,188.6,12.5
"1168","Down",63.1,192.9,188.7,13.4
"1169","Up",56.1,193,188.9,14.3
"1170","Down",61.3,193,189.1,15.2
"1171","Down",49.9,193.1,189.4,15.2
"1172","Down",36.2,192.8,189.6,15.1
"1173","Up",24.1,191.9,189.4,16.3
"1174","Down",32.7,191.3,189.3,18
"1175","Up",30.2,190.4,189.1,19.5
"1176","Down",29.2,189.6,188.9,21
"1177","Up",26.3,188.8,188.7,22.5
"1178","Up",24.4,188.1,188.5,24
"1179","Up",24.5,187.5,188.4,25.2
"1180","Down",41.4,187.1,188.3,25.2
"1181","Up",40.1,186.6,188.2,25.4
"1182","Up",51.8,186.3,188.2,24.9
"1183","Up",57.2,185.9,188.1,23.9
"1184","Down",61,185.3,187.9,22.9
"1185","Up",59.4,184.5,187.7,22.6
"1186","Up",66.3,184,187.6,22.2
"1187","Down",82.9,183.9,187.6,20.8
"1188","Up",64,183.3,187.4,20.2
"1189","Up",64.3,182.9,187.3,19.6
"1190","Down",63.8,182.3,187.3,19.2
"1191","Down",54.7,181.9,187.4,18.5
"1192","Up",42.7,181.7,187.4,17.5
"1193","Up",47.9,182.1,187.3,16.8
"1194","Up",55,182.5,187.4,15.9
"1195","Up",63.4,183.1,187.6,15.9
"1196","Down",63.3,183.7,187.7,16.1
"1197","Down",56.4,184.3,187.7,15.7
"1198","Up",45.5,184.8,187.7,14.7
"1199","Up",60.8,185.6,187.6,13.9
"1200","Down",60.8,186,187.5,13.8
"1201","Up",49.5,186.4,187.4,12.9
"1202","Up",52.5,186.6,187.3,12.1
"1203","Up",63.9,187,187.3,11.9
"1204","Down",70.6,187.5,187.5,12.8
"1205","Down",59.5,188,187.4,13
"1206","Up",54,188.3,187.4,12.6
"1207","Up",62.2,188.5,187.4,13.1
"1208","Down",64.8,189.1,187.6,13.7
"1209","Up",53.6,189.4,187.7,13.3
"1210","Up",55.7,189.8,187.8,12.8
"1211","Up",65.8,190.5,188,13.4
"1212","Up",79.7,192.2,188.5,15.7
"1213","Up",81.1,193.8,188.9,18.1
"1214","Up",83.8,195.5,189.4,20.6
"1215","Up",84.9,197,189.8,22.9
"1216","Up",85.6,198.4,190.3,24.5
"1217","Down",89.2,200.2,190.9,26.4
"1218","Down",82.7,202.1,191.4,28.2
"1219","Up",68.2,203.4,191.8,28.8
"1220","Down",73.1,205,192.3,29.4
"1221","Down",68,206.6,192.8,30.1
"1222","Up",63.9,208.2,193.5,30.9
"1223","Down",62.7,209.5,194.4,31.5
"1224","Up",46,210.4,195.1,30.4
"1225","Up",49.1,211.7,195.9,29
"1226","Down",63.6,213.4,196.9,28.9
"1227","Up",58.7,214.9,197.9,29.1
"1228","Up",56.8,216.2,198.8,29
"1229","Down",54.9,217.7,199.8,29
"1230","Up",48.1,219,200.5,28.3
"1231","Down",53.5,220.1,201.4,27.7
"1232","Up",47,220.3,202.1,27.3
"1233","Up",44.5,220.5,202.8,26.2
"1234","Up",45.2,220.5,203.4,25.1
"1235","Up",47.3,220.5,204.2,24.4
"1236","Down",47.6,220.5,204.9,23.7
"1237","Down",38.8,220.2,205.4,22.3
"1238","Down",18,219.5,205.8,22.2
"1239","Up",11.8,218.8,206.2,23
"1240","Up",20.5,218.1,206.6,23.7
"1241","Up",20.8,217.4,207,24.5
"1242","Down",30.7,216.9,207.6,24.7
"1243","Down",28.4,216.3,208.1,24.9
"1244","Up",22.6,215.7,208.4,25.7
"1245","Down",44.2,215.3,208.8,25.1
"1246","Up",37,214.3,209.1,25
"1247","Up",44.1,213.5,209.5,24.9
"1248","Up",48,212.8,210,24.2
"1249","Down",61.2,212.4,210.5,22.6
"1250","Down",56.2,212.1,211,21.4
"1251","Down",47.3,211.3,211.4,20.2
"1252","Up",44.1,210.6,211.7,19.6
"1253","Down",48,210,212,18.8
"1254","Down",35.9,209,212,18.7
"1255","Up",26,207.5,212,19.8
"1256","Down",29.3,206.1,212,20.8
"1257","Up",19,204.1,211.6,22.8
"1258","Down",18.1,202.5,211.2,24.8
"1259","Down",13.9,200.9,210.8,27
"1260","Down",12.5,199.1,210.3,29
"1261","Up",9.8,197.1,209.7,31.1
"1262","Up",8.2,195,208.7,33.1
"1263","Down",14.8,193,207.7,34.9
"1264","Up",14,191.2,206.7,36.7
"1265","Down",19.5,189.1,205.7,38.4
"1266","Up",19.4,187.1,204.6,40.1
"1267","Down",25.5,185.1,203.5,41.3
"1268","Up",24.3,183,202.3,42.8
"1269","Down",34.5,180.5,201.4,44.2
"1270","Down",29.5,178.1,200.2,45.6
"1271","Down",27.5,175.8,199,47.1
"1272","Up",25.8,173.5,197.8,48.5
"1273","Up",25.1,171.2,196.6,49.9
"1274","Up",51.6,169.5,195.7,49.5
"1275","Up",51.5,168.3,194.6,48.4
"1276","Down",61.3,167.2,193.5,46.8
"1277","Down",47.6,166.6,192.3,43.7
"1278","Down",45.4,165.9,191.1,40.6
"1279","Up",40.9,165.4,189.9,38.1
"1280","Up",47.2,165.1,188.8,35.9
"1281","Up",46.7,164.9,187.6,33.6
"1282","Up",56.7,164.9,186.5,31.4
"1283","Up",57.2,164.7,185.5,29.8
"1284","Up",63,164.8,184.4,28.2
"1285","Up",64.6,164.8,183.4,26.9
"1286","Down",68.2,164.9,182.4,25.9
"1287","Up",39.8,164.6,181.2,24.6
"1288","Up",41.3,164.5,180.3,23.7
"1289","Down",42.1,164.3,179.5,22.7
"1290","Down",36.7,164.2,178.6,21.9
"1291","Down",23.1,163.9,177.6,22.3
"1292","Down",14.5,163.3,176.4,23.7
"1293","Up",12.2,162.6,175.2,25.4
"1294","Down",18.3,161.8,174.1,27
"1295","Up",14.1,160.7,172.8,28.6
"1296","Down",36.8,159.8,171.7,29.3
"1297","Up",32.9,159,170.5,29.9
"1298","Up",38.1,158.4,169.4,30.5
"1299","Up",44.3,158,168.1,30.1
"1300","Up",61.5,157.9,167.1,28.2
"1301","Up",66,157.9,166.2,26.9
"1302","Up",70.2,157.9,165.4,25.9
"1303","Down",73.9,157.9,164.6,25.6
"1304","Up",63.5,157.6,163.9,24.1
"1305","Down",67.7,157.4,163.4,22.8
"1306","Up",61.1,157,162.7,21.6
"1307","Up",60.9,157,162.4,20.5
"1308","Down",61.4,156.9,162.1,19.5
"1309","Down",56,156.7,161.9,18.5
"1310","Up",44.6,156.5,161.6,18.1
"1311","Up",50,156.7,161.5,18.1
"1312","Down",52.1,157.4,161.4,18
"1313","Up",45.3,158,161.2,17.8
"1314","Up",40.8,158.6,161,17.8
"1315","Up",66.3,159.7,161,16.8
"1316","Down",64.1,160.4,161,16.3
"1317","Down",45.2,161,160.9,15.9
"1318","Down",36.9,161.2,160.7,16.7
"1319","Up",23.3,160.9,160.2,18.5
"1320","Down",31.9,160.2,159.9,20.3
"1321","Up",25.3,159.2,159.6,22
"1322","Up",29.7,158.2,159.3,23.5
"1323","Down",41.4,157.3,159.1,23.4
"1324","Up",37.5,156.6,158.7,23.4
"1325","Up",39.4,155.9,158.4,23.4
"1326","Up",41.6,155.3,158,23.2
"1327","Down",44.2,154.8,157.7,22.8
"1328","Up",42,154.2,157.4,22.8
"1329","Up",44.9,153.7,157.2,22.1
"1330","Down",51.2,153.4,156.9,21.7
"1331","Up",52.1,152.9,156.7,21.2
"1332","Up",64.6,152.5,156.4,20.4
"1333","Down",75.3,152.3,156.2,19.5
"1334","Up",63.8,152,155.9,18.6
"1335","Down",65.7,151.4,155.7,17.8
"1336","Down",54.4,150.7,155.3,17.2
"1337","Down",45.1,150.2,155.1,16.8
"1338","Down",31,149.6,154.7,17.4
"1339","Down",27.1,149.5,154.3,18.1
"1340","Down",18.2,149,153.9,19.6
"1341","Up",14.9,148.7,153.5,21.3
"1342","Down",19.5,148.3,153.3,23
"1343","Up",13.6,147.4,153,25
"1344","Down",11.7,146.6,152.7,27
"1345","Up",9.4,145.7,152.4,29
"1346","Up",19.2,144.9,152,31
"1347","Down",18.8,144,151.7,32.2
"1348","Up",18.6,143.1,151.3,33.6
"1349","Up",32.1,142.3,150.9,34.9
"1350","Up",51.1,141.6,150.4,34
"1351","Down",66.7,141.3,150,31.9
"1352","Up",54.2,140.5,149.5,30.6
"1353","Down",56.3,139.6,148.9,29.7
"1354","Up",51.5,138.7,148.4,29
"1355","Up",56.4,137.9,147.9,29.2
"1356","Up",60.2,137.3,147.4,29.2
"1357","Up",66,136.8,147,28.3
"1358","Up",67.9,136.7,146.6,27.4
"1359","Up",69.9,136.6,146.3,26.4
"1360","Up",73.3,136.9,146,25.1
"1361","Down",76.3,137.3,145.7,23.3
"1362","Up",62.1,137.6,145.4,22.7
"1363","Up",65.5,138.1,145,21.5
"1364","Up",68.8,138.8,144.7,20.4
"1365","Up",69.6,139.5,144.3,19.1
"1366","Down",69.6,140.1,143.9,17.8
"1367","Up",60.2,140.7,143.6,17.1
"1368","Up",61.8,141.3,143.3,16.4
"1369","Down",64,141.8,143.3,15.7
"1370","Down",39.7,142,143.1,16.1
"1371","Up",26.4,141.7,143,17.1
"1372","Up",31.8,141.8,142.9,18.3
"1373","Up",34,141.9,142.7,19
"1374","Down",30.5,142,142.5,19.6
"1375","Up",20.5,141.9,142.3,21
"1376","Down",50.1,142.1,142.1,20.5
"1377","Up",39.7,141.9,141.9,20.1
"1378","Up",65.5,142.4,141.9,20.3
"1379","Up",66,142.8,141.9,20.5
"1380","Up",71.5,143.4,142,21.2
"1381","Up",76.3,144.1,142.2,22.2
"1382","Up",77,144.9,142.3,23.5
"1383","Down",80.8,145.8,142.4,24.2
"1384","Down",76.2,146.5,142.5,24.9
"1385","Down",74.6,147.2,142.6,25.5
"1386","Down",64.6,147.8,142.7,24.8
"1387","Up",55,148.3,142.8,23.7
"1388","Up",53.9,148.7,142.9,22.5
"1389","Up",73.5,149.8,143.4,23.1
"1390","Down",78.9,151.4,144.1,25.1
"1391","Down",72.3,153,144.8,26.8
"1392","Down",65,154.5,145.4,28.1
"1393","Up",48.1,155.4,145.9,27.5
"1394","Down",47.5,156.4,146.5,26
"1395","Up",29.1,156.8,146.7,25.3
"1396","Down",30.9,156.9,146.9,24.8
"1397","Up",28.6,157.2,147.1,24.4
"1398","Down",34.4,156.9,147.4,23.8
"1399","Up",31.2,156.5,147.6,22.8
"1400","Down",33.6,156,147.8,21.7
"1401","Down",23.6,154.8,147.6,21.9
"1402","Up",18.3,153.3,147.4,22.5
"1403","Up",18.5,151.8,147.3,23
"1404","Down",17.7,150.3,147.2,24.2
"1405","Up",16.5,148.7,147,25.2
"1406","Up",31.7,147.6,146.9,25.6
"1407","Down",40.6,146.7,146.8,25.4
"1408","Up",39.7,145.8,146.6,25.6
"1409","Up",43.7,144.2,146.4,25.4
"1410","Down",51.7,142.4,146.3,25
"1411","Up",47.9,140.6,146.1,24.4
"1412","Up",52.8,139.1,146,23.9
"1413","Up",61,138,145.9,22.3
"1414","Down",67.1,137.1,145.8,21.1
"1415","Up",51,136.6,145.6,20.4
"1416","Up",54.6,136.2,145.4,20.1
"1417","Down",54.4,135.9,145.2,19.8
"1418","Up",49.8,135.3,145.1,19.3
"1419","Down",49.3,134.9,144.9,19.5
"1420","Down",39.3,134.4,144.7,19.6
"1421","Up",34.5,134.2,144.6,19.8
"1422","Up",52.3,134.6,144.5,19.4
"1423","Up",54.8,134.9,144.5,18.7
"1424","Up",62.8,135.3,144.5,17.6
"1425","Down",64.6,135.8,144.5,16.6
"1426","Up",59.7,136.1,144.5,15.6
"1427","Down",56.6,136.2,144.5,14.7
"1428","Down",52.2,136.3,144.2,13.9
"1429","Up",46.9,136.4,143.9,13.3
"1430","Up",56.8,136.4,143.5,12.7
"1431","Down",63.4,136.6,143.1,11.8
"1432","Up",53.9,136.6,142.7,10.9
"1433","Down",58.6,136.6,142.2,10.5
"1434","Up",44.6,136.4,141.7,10.4
"1435","Down",43.1,136.4,141.3,10.2
"1436","Up",33.6,136.4,140.8,10.8
"1437","Down",33,136.3,140.4,11.3
"1438","Down",20.4,136.1,140,12.8
"1439","Up",16.9,135.8,139.3,14.6
"1440","Up",15.3,135.5,138.4,16.4
"1441","Up",23.3,135.4,137.5,18.2
"1442","Up",28.9,135.1,136.8,18.7
"1443","Down",34.9,134.8,136.2,19.1
"1444","Up",28.9,134.3,135.6,19.8
"1445","Up",49.5,134,135.4,18.8
"1446","Down",60.7,133.9,135.3,17.7
"1447","Up",55.2,133.7,135.1,16.6
"1448","Up",66.9,133.7,134.9,15.9
"1449","Up",75.4,133.9,134.8,16
"1450","Down",78.7,134.1,134.8,16.6
"1451","Up",59,134,134.8,15.6
"1452","Up",66.4,134.1,135,14.7
"1453","Down",67.2,134.1,135.1,14.3
"1454","Down",63.9,134.3,135.3,14.2
"1455","Up",59.6,134.4,135.5,13.9
"1456","Up",64.2,134.7,135.7,13.8
"1457","Up",73.2,135.2,135.8,15.2
"1458","Up",73.8,135.9,136,16.7
"1459","Down",70.2,136.6,136.2,17.6
"1460","Down",50.8,137.2,136.3,16.9
"1461","Down",39.9,137.5,136.3,16.2
"1462","Up",33.2,137.7,136.3,16.2
"1463","Down",30,137.9,136.2,16.3
"1464","Down",24.7,138,136,16.9
"1465","Down",20.5,137.9,135.9,17.8
"1466","Down",16.2,137.6,135.8,18.9
"1467","Up",9.5,137,135.5,21.2
"1468","Down",16.8,136.4,135.3,23.3
"1469","Down",12.8,135.5,135.1,25.3
"1470","Up",10.6,134.5,134.8,27.3
"1471","Up",18.5,133.8,134.6,28.8
"1472","Up",18.7,133,134.3,30.1
"1473","Down",23.3,132.1,134,31.3
"1474","Up",21.4,131.2,133.7,32.7
"1475","Down",26.9,130.4,133.3,34
"1476","Up",25.3,129.4,133,35.4
"1477","Up",28.9,128.2,132.6,36.7
"1478","Down",28.9,127,132.3,38.1
"1479","Down",23.1,125.7,131.9,39.7
"1480","Up",18.4,124.5,131.5,41.5
"1481","Down",33.4,123.5,131.1,43.2
"1482","Down",21.2,122.4,130.6,45.1
"1483","Down",17.7,121.3,130,47.1
"1484","Down",15.7,120.2,129.5,49.1
"1485","Up",10.7,118.9,128.9,51.3
"1486","Down",10.6,117.7,128.3,53.3
"1487","Down",8.6,116.7,127.7,55.4
"1488","Down",6.6,115.4,127.1,57.5
"1489","Up",5.5,114.3,126.5,59.6
"1490","Down",5,113.1,125.8,61.6
"1491","Down",3.1,111.6,125.1,63.5
"1492","Up",2.5,110,124.3,65.4
"1493","Down",11.3,108.5,123.5,67.1
"1494","Up",8.4,106.9,122.7,68.9
"1495","Up",14.9,105.2,121.8,70.5
"1496","Down",32.4,103.8,120.9,70.6
"1497","Up",32.9,102.4,120.1,70.2
"1498","Down",41.6,101.1,119.2,69.9
"1499","Up",38.2,99.8,118.3,69.5
"1500","Down",39.3,98.6,117.3,69.6
"1501","Down",37.7,97.2,116.4,69.6
"1502","Up",37.6,96,115.4,69
"1503","Up",37.8,95,114.4,68.6
"1504","Up",48,94,113.4,67.5
"1505","Up",65.1,93.5,112.5,64.7
"1506","Down",64.5,93,111.6,61.3
"1507","Down",39,92.2,110.5,59.4
"1508","Down",24.7,91.2,109.2,58.6
"1509","Down",20,90.2,107.9,58.3
"1510","Up",15.7,89,106.6,58.2
"1511","Down",25.2,88.2,105.4,57.6
"1512","Up",20.9,87.3,104.1,57.4
"1513","Up",21.3,86.3,102.9,57.4
"1514","Up",20.8,85.5,101.7,56.8
"1515","Down",34.1,84.9,100.6,55.8
"1516","Down",33.4,84.1,99.5,54.5
"1517","Down",28.7,83.1,98.5,53.6
"1518","Down",27.7,82,97.5,53.2
"1519","Up",27.1,81,96.5,52.8
"1520","Down",33.1,80.1,95.5,52.4
"1521","Up",31.8,79.2,94.5,51.3
"1522","Up",48.4,78.4,93.5,50.2
"1523","Up",66.7,77.8,92.7,47.6
"1524","Up",69.7,77.2,91.8,44.9
"1525","Down",78.6,76.6,91.1,42
"1526","Up",72.9,76,90.3,39.3
"1527","Down",75.6,75.8,89.5,36.5
"1528","Up",71.4,75.8,88.8,34.1
"1529","Up",72,76.1,88,31.7
"1530","Up",74.6,76.5,87.4,29.6
"1531","Down",78.5,76.9,86.7,28
"1532","Up",74.2,77.4,86.1,26.1
"1533","Up",73.9,77.9,85.5,24.6
"1534","Up",78.3,78.5,85,23.2
"1535","Down",83.6,79,84.7,22.8
"1536","Down",78.1,79.5,84.3,22.3
"1537","Down",64.2,80.1,83.9,21.6
"1538","Up",45.1,80.6,83.6,20.1
"1539","Up",41.7,81.1,83.2,18.9
"1540","Down",61.4,81.8,83,18.4
"1541","Up",56.1,82.4,82.8,17.9
"1542","Down",66.8,83.1,82.8,17.9
"1543","Down",62.2,83.6,82.7,18.1
"1544","Down",44.5,83.7,82.6,16.9
"1545","Up",39.2,83.7,82.4,16.1
"1546","Up",37.4,83.6,82.2,15.6
"1547","Up",38.8,83.6,82,15.2
"1548","Up",45.7,83.6,81.8,14.3
"1549","Up",47.5,83.7,81.6,13.4
"1550","Down",54.1,83.8,81.5,13.2
"1551","Up",44.6,83.8,81.3,12.7
"1552","Up",53.6,83.9,81.2,12.1
"1553","Up",68,84.2,81.2,12.9
"1554","Down",72.3,84.5,81.2,13.6
"1555","Up",68.8,84.6,81.1,14.2
"1556","Up",72.7,84.8,81,14.5
"1557","Down",74.9,85.1,81.1,15.2
"1558","Down",64,85.4,81.2,15.2
"1559","Down",56.5,85.6,81.4,14.4
"1560","Down",42.4,85.6,81.6,13.7
"1561","Down",36,85.5,81.8,13.5
"1562","Up",28.8,85.1,81.9,13.7
