Date,Open,High,Low,Close,Adj Close,Volume
2019-02-11,175.100006,176.000000,170.100006,173.250000,173.250000,29509227
2019-02-12,173.000000,176.250000,172.100006,172.649994,172.649994,22298518
2019-02-14,186.350006,224.000000,186.350006,221.250000,221.250000,264725005
2019-02-15,226.899994,226.899994,211.300003,219.000000,219.000000,141193124
2019-02-18,201.000000,216.699997,201.000000,213.550003,213.550003,89969426
2019-02-19,215.100006,218.100006,211.550003,212.850006,212.850006,33990276
2019-02-20,216.899994,219.800003,213.350006,217.850006,217.850006,48429455
2019-02-21,218.850006,218.850006,214.000000,215.149994,215.149994,27975632
2019-02-22,214.500000,223.699997,213.100006,222.000000,222.000000,51329944
2019-02-25,223.850006,230.600006,221.199997,229.100006,229.100006,47825222
2019-02-26,223.199997,234.449997,220.100006,229.500000,229.500000,84298892
2019-02-27,233.000000,236.800003,223.649994,228.199997,228.199997,74650022
2019-02-28,230.000000,232.750000,226.800003,231.149994,231.149994,45753501
2019-03-01,234.899994,238.500000,234.100006,237.600006,237.600006,42006406
2019-03-05,236.000000,240.750000,234.500000,237.449997,237.449997,30848699
2019-03-06,238.100006,240.649994,232.949997,235.300003,235.300003,24658589
2019-03-07,235.500000,236.000000,228.649994,231.699997,231.699997,27229610
2019-03-08,231.699997,234.899994,229.500000,232.300003,232.300003,23233613
